Luni,10 - 12, ,L001,931,Seminar,Limbaje formale si tehnici de compilare,Lect. PETRASCU Vladiela
Luni,12 - 14,sapt. 2,L338,IE3,Laborator,Aplicatii ale geometriei in informatica,Conf. BLAGA Paul
Luni,14 - 16, ,2/I,IE3,Curs,Programare paralela si distribuita,Lect. LUPSA Radu
Marti,8 - 10,sapt. 2,L338,931,Laborator,Principiile implementarii orientate spre performanta,C.d.asociat CIFORAC Andreea
Marti,8 - 10,sapt. 2,L439,931,Laborator,Automatizarea proceselor de business,C.d.asociat BELCIUG Daniel
Marti,11 - 14, ,DPPD - 204,IE3,Seminar,Practica pedagogica observativa,Drd. MAIER Mariana
Marti,12 - 14, ,lambda,931/2,Laborator,Programare paralela si distribuita,Lect. LUPSA Radu
Marti,14 - 15, ,DPPD - 204,IE3,Curs,Instruire asistata de calculator,Drd. MAIER Mariana
Marti,14 - 16, ,lambda,931/1,Laborator,Programare paralela si distribuita,Lect. LUPSA Radu
Marti,15 - 17,sapt. 2,DPPD - 204,IE3,Seminar,Instruire asistata de calculator,Drd. MAIER Mariana
Miercuri,8 - 10, ,C310,IE3,Curs,Instrumente CASE,Conf. CHIOREAN Dan
Miercuri,8 - 10,sapt. 2,L307,931,Laborator,Realitate virtuala,Conf. BOIAN Rares
Miercuri,10 - 12,sapt. 1,L320,IE3,Laborator,Instrumente CASE,Conf. CHIOREAN Dan
Miercuri,12 - 14,sapt. 2,L306,931,Laborator,Criptografie cu cheie publica,Drd. CHIRU Iulia
Miercuri,18 - 20, ,C310,IE3,Curs,Securitate software,Conf. SUCIU Mihai
Miercuri,18 - 20, ,C335,IE3,Curs,Arhitectura aplicatiilor cloud,Lect. GREBLA Horea
Joi,8 - 10, ,6/II,IE3,Curs,Aplicatii ale geometriei in informatica,Conf. BLAGA Paul
Joi,8 - 10, ,C310,IE3,Curs,Metode inteligente de rezolvare a problemelor reale,Prof. DIOSAN Laura
Joi,8 - 10, ,C335,IE3,Curs,Principiile implementarii orientate spre performanta,C.d.asociat VLEJU Boris
Joi,10 - 12, ,C310,IE3,Curs,Criptografie cu cheie publica,Prof. CRIVEI Septimiu
Joi,10 - 12, ,C335,IE3,Curs,Automatizarea proceselor de business,Lect. POP Andreea
Joi,10 - 12,sapt. 1,L308,IE3,Laborator,Metode inteligente de rezolvare a problemelor reale,Prof. DIOSAN Laura
Joi,10 - 12, ,L343,931/1,Laborator,Limbaje formale si tehnici de compilare,Lect. PETRASCU Vladiela
Joi,12 - 14, ,A2,IE3,Curs,Interactiunea om - calculator,Conf. GURAN Adriana
Joi,12 - 14, ,A2,IE3,Curs,Interactiunea om - calculator,Conf. GURAN Adriana
Joi,12 - 14, ,C310,IE3,Curs,Realitate virtuala,Conf. BOIAN Rares
Joi,12 - 14, ,C512,IE3,Curs,Calcul afectiv,Lect. BENTA Iulian
Joi,12 - 14, ,L439,IE3,Laborator,Securitate software,Drd. Doctorand Info
Joi,14 - 16,sapt. 2,L307,IE3,Laborator,Calcul afectiv,Lect. BENTA Iulian
Joi,14 - 16,sapt. 2,L343,IE3,Laborator,Interactiunea om - calculator,Conf. GURAN Adriana
Joi,16 - 18, ,2/I,IE3,Curs,Limbaje formale si tehnici de compilare,Prof. MOTOGNA Simona
Vineri,8 - 10, ,C335,931,Laborator,Proiectarea produselor inovative,Drd. ILENI Tudor
Vineri,10 - 12, ,C335,IE3,Curs,Roboti inteligenti,Asist. MURESAN Horea
Vineri,12 - 14, ,L307,931,Laborator,Proiect colectiv,Drd. Doctorand Info
Vineri,12 - 14,sapt. 1,L404,931/2,Laborator,Programare pentru dispozitive mobile,Lect. COJOCAR Dan
Vineri,14 - 16,sapt. 2,L307,IE3,Laborator,Roboti inteligenti,Asist. MURESAN Horea
Vineri,14 - 16, ,L321,931,Laborator,Proiect de cercetare,Prof. CZIBULA Istvan
Vineri,14 - 16,sapt. 1,L336,931,Laborator,Arhitectura aplicatiilor cloud,Lect. GREBLA Horea
Vineri,16 - 18, ,A2,IE3,Curs,Programare pentru dispozitive mobile,Lect. COJOCAR Dan
Vineri,18 - 20,sapt. 1,L001,931/1,Laborator,Programare pentru dispozitive mobile,Asist. MURESAN Horea
Vineri,18 - 20, ,L301,931/2,Laborator,Limbaje formale si tehnici de compilare,Drd. PATCAS Rares